run,time
1,0.214
2,0.278
3,0.267
4,0.491
5,0.18
6,0.237
7,0.169
8,0.251
9,0.236
10,0.296
11,0.183
12,0.187
13,0.321
14,0.664
15,0.29
16,0.183
17,0.224
18,0.183
19,0.271
20,0.259
21,0.257
22,0.187
23,0.219
24,0.341
25,0.212
26,0.167
27,0.188
28,0.303
29,0.213
30,0.223
