run,time
1,0.218
2,0.204
3,0.352
4,0.222
5,0.195
6,0.216
7,0.291
8,0.197
9,0.173
10,0.213
11,0.326
12,0.177
13,0.29
14,0.189
15,0.202
16,0.242
17,0.915
18,0.236
19,0.324
20,0.285
21,0.281
22,0.259
23,0.215
24,0.178
25,0.33
26,0.307
27,0.233
28,0.2
29,0.318
30,0.306
