run,time
1,0.889
2,0.877
3,0.953
4,0.858
5,0.836
6,0.832
7,0.933
8,0.907
9,1.029
10,0.942
11,0.833
12,0.816
13,0.969
14,0.772
15,0.817
16,0.763
17,0.867
18,0.914
19,0.778
20,0.9
21,0.872
22,0.788
23,0.81
24,0.813
25,0.667
26,0.807
27,0.836
28,0.954
29,0.867
30,0.836
