run,time
1,0.54
2,0.567
3,0.529
4,1.501
5,0.994
6,0.673
7,1.49
8,0.745
9,0.88
10,0.967
11,0.931
12,1.069
13,1.832
14,1.35
15,1.447
16,0.877
17,0.672
18,0.51
19,0.659
20,0.625
21,0.572
22,0.615
23,0.668
24,0.832
25,1.049
26,0.659
27,0.636
28,0.528
29,0.663
30,0.549
