run_id,iters,elapsed_ms
1,20000000000,13469
2,20000000000,15079
3,20000000000,13845
4,20000000000,15123
5,20000000000,13508
6,20000000000,14954
7,20000000000,13607
8,20000000000,15021
9,20000000000,13551
10,20000000000,15061
11,20000000000,14131
12,20000000000,15605
13,20000000000,13523
14,20000000000,15025
15,20000000000,14062
16,20000000000,15569
17,20000000000,13804
18,20000000000,15084
19,20000000000,13729
20,20000000000,15363
21,20000000000,13919
22,20000000000,15174
23,20000000000,13805
24,20000000000,15098
25,20000000000,13523
26,20000000000,15223
27,20000000000,13862
28,20000000000,15419
29,20000000000,13704
30,20000000000,15149
