mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,18,1111111111,20000000000,1,1738
parallel,24,18,1111111111,20000000000,2,1739
parallel,24,18,1111111111,20000000000,3,1744
parallel,24,18,1111111111,20000000000,4,1714
parallel,24,18,1111111111,20000000000,5,1771
parallel,24,18,1111111111,20000000000,6,1754
parallel,24,18,1111111111,20000000000,7,1771
parallel,24,18,1111111111,20000000000,8,1765
parallel,24,18,1111111111,20000000000,9,1735
parallel,24,18,1111111111,20000000000,10,1724
parallel,24,18,1111111111,20000000000,11,1757
parallel,24,18,1111111111,20000000000,12,1777
parallel,24,18,1111111111,20000000000,13,1798
parallel,24,18,1111111111,20000000000,14,1787
parallel,24,18,1111111111,20000000000,15,1781
parallel,24,18,1111111111,20000000000,16,1804
parallel,24,18,1111111111,20000000000,17,1823
parallel,24,18,1111111111,20000000000,18,1765
parallel,24,18,1111111111,20000000000,19,1747
parallel,24,18,1111111111,20000000000,20,1741
parallel,24,18,1111111111,20000000000,21,1751
parallel,24,18,1111111111,20000000000,22,1746
parallel,24,18,1111111111,20000000000,23,1741
parallel,24,18,1111111111,20000000000,24,1757
parallel,24,18,1111111111,20000000000,25,1756
parallel,24,18,1111111111,20000000000,26,1774
parallel,24,18,1111111111,20000000000,27,1735
parallel,24,18,1111111111,20000000000,28,1748
parallel,24,18,1111111111,20000000000,29,1768
parallel,24,18,1111111111,20000000000,30,1771
