mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,30,666666666,20000000000,1,1769
parallel,24,30,666666666,20000000000,2,1748
parallel,24,30,666666666,20000000000,3,1720
parallel,24,30,666666666,20000000000,4,1708
parallel,24,30,666666666,20000000000,5,1757
parallel,24,30,666666666,20000000000,6,1747
parallel,24,30,666666666,20000000000,7,1712
parallel,24,30,666666666,20000000000,8,1728
parallel,24,30,666666666,20000000000,9,1713
parallel,24,30,666666666,20000000000,10,1693
parallel,24,30,666666666,20000000000,11,1671
parallel,24,30,666666666,20000000000,12,1740
parallel,24,30,666666666,20000000000,13,1695
parallel,24,30,666666666,20000000000,14,1745
parallel,24,30,666666666,20000000000,15,1719
parallel,24,30,666666666,20000000000,16,1724
parallel,24,30,666666666,20000000000,17,1708
parallel,24,30,666666666,20000000000,18,1754
parallel,24,30,666666666,20000000000,19,1718
parallel,24,30,666666666,20000000000,20,1719
parallel,24,30,666666666,20000000000,21,1861
parallel,24,30,666666666,20000000000,22,1760
parallel,24,30,666666666,20000000000,23,1853
parallel,24,30,666666666,20000000000,24,1973
parallel,24,30,666666666,20000000000,25,1832
parallel,24,30,666666666,20000000000,26,1811
parallel,24,30,666666666,20000000000,27,1706
parallel,24,30,666666666,20000000000,28,1755
parallel,24,30,666666666,20000000000,29,1762
parallel,24,30,666666666,20000000000,30,1741
