mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,18,1111111111,20000000000,1,1778
parallel,24,18,1111111111,20000000000,2,1788
parallel,24,18,1111111111,20000000000,3,1752
parallel,24,18,1111111111,20000000000,4,1762
parallel,24,18,1111111111,20000000000,5,1781
parallel,24,18,1111111111,20000000000,6,1727
parallel,24,18,1111111111,20000000000,7,1734
parallel,24,18,1111111111,20000000000,8,1759
parallel,24,18,1111111111,20000000000,9,1740
parallel,24,18,1111111111,20000000000,10,1747
parallel,24,18,1111111111,20000000000,11,1768
parallel,24,18,1111111111,20000000000,12,1745
parallel,24,18,1111111111,20000000000,13,1752
parallel,24,18,1111111111,20000000000,14,1780
parallel,24,18,1111111111,20000000000,15,1787
parallel,24,18,1111111111,20000000000,16,1736
parallel,24,18,1111111111,20000000000,17,1764
parallel,24,18,1111111111,20000000000,18,1791
parallel,24,18,1111111111,20000000000,19,1743
parallel,24,18,1111111111,20000000000,20,1761
parallel,24,18,1111111111,20000000000,21,1807
parallel,24,18,1111111111,20000000000,22,1779
parallel,24,18,1111111111,20000000000,23,1811
parallel,24,18,1111111111,20000000000,24,1788
parallel,24,18,1111111111,20000000000,25,1853
parallel,24,18,1111111111,20000000000,26,1771
parallel,24,18,1111111111,20000000000,27,1793
parallel,24,18,1111111111,20000000000,28,1765
parallel,24,18,1111111111,20000000000,29,1778
parallel,24,18,1111111111,20000000000,30,1770
