mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,48,416666667,20000000000,1,1530
parallel,24,48,416666667,20000000000,2,1570
parallel,24,48,416666667,20000000000,3,1551
parallel,24,48,416666667,20000000000,4,1546
parallel,24,48,416666667,20000000000,5,1570
parallel,24,48,416666667,20000000000,6,1573
parallel,24,48,416666667,20000000000,7,1538
parallel,24,48,416666667,20000000000,8,1540
parallel,24,48,416666667,20000000000,9,1538
parallel,24,48,416666667,20000000000,10,37
parallel,24,48,416666667,20000000000,11,1525
parallel,24,48,416666667,20000000000,12,1543
parallel,24,48,416666667,20000000000,13,1565
parallel,24,48,416666667,20000000000,14,1550
parallel,24,48,416666667,20000000000,15,1544
parallel,24,48,416666667,20000000000,16,1558
parallel,24,48,416666667,20000000000,17,1588
parallel,24,48,416666667,20000000000,18,1575
parallel,24,48,416666667,20000000000,19,1566
parallel,24,48,416666667,20000000000,20,1564
parallel,24,48,416666667,20000000000,21,1581
parallel,24,48,416666667,20000000000,22,1566
parallel,24,48,416666667,20000000000,23,1589
parallel,24,48,416666667,20000000000,24,1594
parallel,24,48,416666667,20000000000,25,1639
parallel,24,48,416666667,20000000000,26,1593
parallel,24,48,416666667,20000000000,27,1559
parallel,24,48,416666667,20000000000,28,1600
parallel,24,48,416666667,20000000000,29,64
parallel,24,48,416666667,20000000000,30,1570
