mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,24,833333334,20000000000,1,1491
parallel,24,24,833333334,20000000000,2,1473
parallel,24,24,833333334,20000000000,3,1483
parallel,24,24,833333334,20000000000,4,1504
parallel,24,24,833333334,20000000000,5,1481
parallel,24,24,833333334,20000000000,6,1533
parallel,24,24,833333334,20000000000,7,1925
parallel,24,24,833333334,20000000000,8,1551
parallel,24,24,833333334,20000000000,9,1501
parallel,24,24,833333334,20000000000,10,1500
parallel,24,24,833333334,20000000000,11,1504
parallel,24,24,833333334,20000000000,12,1501
parallel,24,24,833333334,20000000000,13,1506
parallel,24,24,833333334,20000000000,14,1507
parallel,24,24,833333334,20000000000,15,1483
parallel,24,24,833333334,20000000000,16,1486
parallel,24,24,833333334,20000000000,17,1522
parallel,24,24,833333334,20000000000,18,1483
parallel,24,24,833333334,20000000000,19,1506
parallel,24,24,833333334,20000000000,20,1539
parallel,24,24,833333334,20000000000,21,1502
parallel,24,24,833333334,20000000000,22,1474
parallel,24,24,833333334,20000000000,23,1482
parallel,24,24,833333334,20000000000,24,1493
parallel,24,24,833333334,20000000000,25,1506
parallel,24,24,833333334,20000000000,26,1525
parallel,24,24,833333334,20000000000,27,1499
parallel,24,24,833333334,20000000000,28,1525
parallel,24,24,833333334,20000000000,29,1510
parallel,24,24,833333334,20000000000,30,1515
