mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,60,333333334,20000000000,1,1872
parallel,24,60,333333334,20000000000,2,1663
parallel,24,60,333333334,20000000000,3,1721
parallel,24,60,333333334,20000000000,4,1671
parallel,24,60,333333334,20000000000,5,1669
parallel,24,60,333333334,20000000000,6,1620
parallel,24,60,333333334,20000000000,7,1638
parallel,24,60,333333334,20000000000,8,1628
parallel,24,60,333333334,20000000000,9,1615
parallel,24,60,333333334,20000000000,10,1583
parallel,24,60,333333334,20000000000,11,1591
parallel,24,60,333333334,20000000000,12,1623
parallel,24,60,333333334,20000000000,13,1566
parallel,24,60,333333334,20000000000,14,1612
parallel,24,60,333333334,20000000000,15,1699
parallel,24,60,333333334,20000000000,16,1612
parallel,24,60,333333334,20000000000,17,1612
parallel,24,60,333333334,20000000000,18,1661
parallel,24,60,333333334,20000000000,19,1641
parallel,24,60,333333334,20000000000,20,1577
parallel,24,60,333333334,20000000000,21,1614
parallel,24,60,333333334,20000000000,22,1638
parallel,24,60,333333334,20000000000,23,1643
parallel,24,60,333333334,20000000000,24,1674
parallel,24,60,333333334,20000000000,25,1610
parallel,24,60,333333334,20000000000,26,1611
parallel,24,60,333333334,20000000000,27,1576
parallel,24,60,333333334,20000000000,28,1735
parallel,24,60,333333334,20000000000,29,1679
parallel,24,60,333333334,20000000000,30,1604
