mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,12,1666666667,20000000000,1,1890
parallel,24,12,1666666667,20000000000,2,1828
parallel,24,12,1666666667,20000000000,3,1817
parallel,24,12,1666666667,20000000000,4,1866
parallel,24,12,1666666667,20000000000,5,1906
parallel,24,12,1666666667,20000000000,6,1867
parallel,24,12,1666666667,20000000000,7,2000
parallel,24,12,1666666667,20000000000,8,2038
parallel,24,12,1666666667,20000000000,9,2066
parallel,24,12,1666666667,20000000000,10,1969
parallel,24,12,1666666667,20000000000,11,1971
parallel,24,12,1666666667,20000000000,12,2033
parallel,24,12,1666666667,20000000000,13,2035
parallel,24,12,1666666667,20000000000,14,1972
parallel,24,12,1666666667,20000000000,15,1956
parallel,24,12,1666666667,20000000000,16,1988
parallel,24,12,1666666667,20000000000,17,1955
parallel,24,12,1666666667,20000000000,18,2002
parallel,24,12,1666666667,20000000000,19,2007
parallel,24,12,1666666667,20000000000,20,2052
parallel,24,12,1666666667,20000000000,21,2000
parallel,24,12,1666666667,20000000000,22,2057
parallel,24,12,1666666667,20000000000,23,1977
parallel,24,12,1666666667,20000000000,24,1965
parallel,24,12,1666666667,20000000000,25,1931
parallel,24,12,1666666667,20000000000,26,1951
parallel,24,12,1666666667,20000000000,27,1979
parallel,24,12,1666666667,20000000000,28,1972
parallel,24,12,1666666667,20000000000,29,1983
parallel,24,12,1666666667,20000000000,30,1980
