mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,60,240,83333333,20000000000,1,1339
parallel,60,240,83333333,20000000000,2,1344
parallel,60,240,83333333,20000000000,3,1277
parallel,60,240,83333333,20000000000,4,1279
parallel,60,240,83333333,20000000000,5,1286
parallel,60,240,83333333,20000000000,6,1309
parallel,60,240,83333333,20000000000,7,1314
parallel,60,240,83333333,20000000000,8,1287
parallel,60,240,83333333,20000000000,9,1306
parallel,60,240,83333333,20000000000,10,1310
parallel,60,240,83333333,20000000000,11,1332
parallel,60,240,83333333,20000000000,12,1304
parallel,60,240,83333333,20000000000,13,1519
parallel,60,240,83333333,20000000000,14,1292
parallel,60,240,83333333,20000000000,15,1333
parallel,60,240,83333333,20000000000,16,1332
parallel,60,240,83333333,20000000000,17,1323
parallel,60,240,83333333,20000000000,18,1292
parallel,60,240,83333333,20000000000,19,1340
parallel,60,240,83333333,20000000000,20,1297
parallel,60,240,83333333,20000000000,21,1314
parallel,60,240,83333333,20000000000,22,1313
parallel,60,240,83333333,20000000000,23,1366
parallel,60,240,83333333,20000000000,24,1350
parallel,60,240,83333333,20000000000,25,1336
parallel,60,240,83333333,20000000000,26,1299
parallel,60,240,83333333,20000000000,27,1333
parallel,60,240,83333333,20000000000,28,1380
parallel,60,240,83333333,20000000000,29,1320
parallel,60,240,83333333,20000000000,30,1273
