mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,18,240,83333333,20000000000,1,1753
parallel,18,240,83333333,20000000000,2,1705
parallel,18,240,83333333,20000000000,3,1710
parallel,18,240,83333333,20000000000,4,1768
parallel,18,240,83333333,20000000000,5,1727
parallel,18,240,83333333,20000000000,6,1729
parallel,18,240,83333333,20000000000,7,1749
parallel,18,240,83333333,20000000000,8,1704
parallel,18,240,83333333,20000000000,9,1735
parallel,18,240,83333333,20000000000,10,1730
parallel,18,240,83333333,20000000000,11,1732
parallel,18,240,83333333,20000000000,12,1860
parallel,18,240,83333333,20000000000,13,1777
parallel,18,240,83333333,20000000000,14,1763
parallel,18,240,83333333,20000000000,15,1736
parallel,18,240,83333333,20000000000,16,1742
parallel,18,240,83333333,20000000000,17,1781
parallel,18,240,83333333,20000000000,18,1761
parallel,18,240,83333333,20000000000,19,1741
parallel,18,240,83333333,20000000000,20,1757
parallel,18,240,83333333,20000000000,21,1702
parallel,18,240,83333333,20000000000,22,1741
parallel,18,240,83333333,20000000000,23,1762
parallel,18,240,83333333,20000000000,24,1732
parallel,18,240,83333333,20000000000,25,1714
parallel,18,240,83333333,20000000000,26,1766
parallel,18,240,83333333,20000000000,27,1752
parallel,18,240,83333333,20000000000,28,1733
parallel,18,240,83333333,20000000000,29,1741
parallel,18,240,83333333,20000000000,30,1777
