mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,24,240,83333333,20000000000,1,1485
parallel,24,240,83333333,20000000000,2,1512
parallel,24,240,83333333,20000000000,3,1519
parallel,24,240,83333333,20000000000,4,1495
parallel,24,240,83333333,20000000000,5,1526
parallel,24,240,83333333,20000000000,6,1549
parallel,24,240,83333333,20000000000,7,1516
parallel,24,240,83333333,20000000000,8,1493
parallel,24,240,83333333,20000000000,9,1483
parallel,24,240,83333333,20000000000,10,1512
parallel,24,240,83333333,20000000000,11,1513
parallel,24,240,83333333,20000000000,12,1498
parallel,24,240,83333333,20000000000,13,1509
parallel,24,240,83333333,20000000000,14,1468
parallel,24,240,83333333,20000000000,15,1516
parallel,24,240,83333333,20000000000,16,1511
parallel,24,240,83333333,20000000000,17,1481
parallel,24,240,83333333,20000000000,18,1501
parallel,24,240,83333333,20000000000,19,1494
parallel,24,240,83333333,20000000000,20,1481
parallel,24,240,83333333,20000000000,21,1499
parallel,24,240,83333333,20000000000,22,1525
parallel,24,240,83333333,20000000000,23,1499
parallel,24,240,83333333,20000000000,24,1495
parallel,24,240,83333333,20000000000,25,1512
parallel,24,240,83333333,20000000000,26,1521
parallel,24,240,83333333,20000000000,27,1533
parallel,24,240,83333333,20000000000,28,1522
parallel,24,240,83333333,20000000000,29,1518
parallel,24,240,83333333,20000000000,30,1499
