mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,30,240,83333333,20000000000,1,1346
parallel,30,240,83333333,20000000000,2,1453
parallel,30,240,83333333,20000000000,3,1348
parallel,30,240,83333333,20000000000,4,1363
parallel,30,240,83333333,20000000000,5,1330
parallel,30,240,83333333,20000000000,6,1349
parallel,30,240,83333333,20000000000,7,1343
parallel,30,240,83333333,20000000000,8,1383
parallel,30,240,83333333,20000000000,9,1323
parallel,30,240,83333333,20000000000,10,1344
parallel,30,240,83333333,20000000000,11,1335
parallel,30,240,83333333,20000000000,12,1363
parallel,30,240,83333333,20000000000,13,1355
parallel,30,240,83333333,20000000000,14,1328
parallel,30,240,83333333,20000000000,15,1333
parallel,30,240,83333333,20000000000,16,1389
parallel,30,240,83333333,20000000000,17,1399
parallel,30,240,83333333,20000000000,18,1336
parallel,30,240,83333333,20000000000,19,1303
parallel,30,240,83333333,20000000000,20,1369
parallel,30,240,83333333,20000000000,21,1612
parallel,30,240,83333333,20000000000,22,1404
parallel,30,240,83333333,20000000000,23,1333
parallel,30,240,83333333,20000000000,24,1357
parallel,30,240,83333333,20000000000,25,1365
parallel,30,240,83333333,20000000000,26,1348
parallel,30,240,83333333,20000000000,27,1368
parallel,30,240,83333333,20000000000,28,1401
parallel,30,240,83333333,20000000000,29,1356
parallel,30,240,83333333,20000000000,30,1358
