mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,4,240,83333333,20000000000,1,3572
parallel,4,240,83333333,20000000000,2,4005
parallel,4,240,83333333,20000000000,3,3953
parallel,4,240,83333333,20000000000,4,3993
parallel,4,240,83333333,20000000000,5,3844
parallel,4,240,83333333,20000000000,6,4038
parallel,4,240,83333333,20000000000,7,3748
parallel,4,240,83333333,20000000000,8,3872
parallel,4,240,83333333,20000000000,9,3597
parallel,4,240,83333333,20000000000,10,4012
parallel,4,240,83333333,20000000000,11,3969
parallel,4,240,83333333,20000000000,12,3994
parallel,4,240,83333333,20000000000,13,3826
parallel,4,240,83333333,20000000000,14,3797
parallel,4,240,83333333,20000000000,15,3815
parallel,4,240,83333333,20000000000,16,3931
parallel,4,240,83333333,20000000000,17,3837
parallel,4,240,83333333,20000000000,18,3815
parallel,4,240,83333333,20000000000,19,3817
parallel,4,240,83333333,20000000000,20,3808
parallel,4,240,83333333,20000000000,21,3985
parallel,4,240,83333333,20000000000,22,3816
parallel,4,240,83333333,20000000000,23,3893
parallel,4,240,83333333,20000000000,24,3637
parallel,4,240,83333333,20000000000,25,3872
parallel,4,240,83333333,20000000000,26,3846
parallel,4,240,83333333,20000000000,27,3812
parallel,4,240,83333333,20000000000,28,3906
parallel,4,240,83333333,20000000000,29,3770
parallel,4,240,83333333,20000000000,30,3750
