mode,threads,tasks,iters_per_task,total_iters,run_id,elapsed_ms
parallel,12,240,83333333,20000000000,1,1874
parallel,12,240,83333333,20000000000,2,1802
parallel,12,240,83333333,20000000000,3,1856
parallel,12,240,83333333,20000000000,4,1852
parallel,12,240,83333333,20000000000,5,1817
parallel,12,240,83333333,20000000000,6,1803
parallel,12,240,83333333,20000000000,7,1872
parallel,12,240,83333333,20000000000,8,1799
parallel,12,240,83333333,20000000000,9,1815
parallel,12,240,83333333,20000000000,10,1844
parallel,12,240,83333333,20000000000,11,1789
parallel,12,240,83333333,20000000000,12,1790
parallel,12,240,83333333,20000000000,13,1872
parallel,12,240,83333333,20000000000,14,1865
parallel,12,240,83333333,20000000000,15,1882
parallel,12,240,83333333,20000000000,16,1915
parallel,12,240,83333333,20000000000,17,1883
parallel,12,240,83333333,20000000000,18,1919
parallel,12,240,83333333,20000000000,19,1970
parallel,12,240,83333333,20000000000,20,1923
parallel,12,240,83333333,20000000000,21,1922
parallel,12,240,83333333,20000000000,22,1910
parallel,12,240,83333333,20000000000,23,1894
parallel,12,240,83333333,20000000000,24,1890
parallel,12,240,83333333,20000000000,25,1910
parallel,12,240,83333333,20000000000,26,2017
parallel,12,240,83333333,20000000000,27,2014
parallel,12,240,83333333,20000000000,28,2045
parallel,12,240,83333333,20000000000,29,1981
parallel,12,240,83333333,20000000000,30,1981
