run,time
1,0.904
2,0.878
3,0.965
4,1.009
5,0.818
6,1.213
7,1.134
8,0.931
9,0.974
10,1.217
11,0.996
12,0.928
13,0.788
14,0.835
15,0.773
16,0.868
17,0.857
18,0.772
19,0.874
20,0.816
21,1.150
22,0.832
23,0.764
24,0.842
25,0.851
26,0.909
27,0.882
28,0.973
29,0.982
30,0.869
