run,time
1,0.669
2,0.685
3,0.688
4,0.708
5,0.740
6,0.666
7,0.642
8,1.007
9,0.835
10,0.669
11,0.622
12,0.747
13,1.622
14,1.460
15,0.744
16,0.709
17,0.724
18,0.805
19,0.729
20,0.707
21,0.802
22,1.164
23,1.012
24,1.071
25,1.268
26,0.716
27,0.716
28,0.687
29,0.749
30,0.688
