run,time
1,0.638
2,0.619
3,0.519
4,0.751
5,0.583
6,0.597
7,0.512
8,0.522
9,0.523
10,0.689
11,0.53
12,0.619
13,0.552
14,0.535
15,0.842
16,0.563
17,0.609
18,0.5
19,0.61
20,0.562
21,0.628
22,0.615
23,0.496
24,1.086
25,0.85
26,1.446
27,1.52
28,1.535
29,1.137
30,1.346
