run,time
1,0.037
2,0.042
3,0.038
4,0.036
5,0.032
6,0.033
7,0.038
8,0.034
9,0.033
10,0.036
11,0.035
12,0.035
13,0.036
14,0.035
15,0.034
16,0.035
17,0.034
18,0.033
19,0.037
20,0.033
21,0.032
22,0.036
23,0.033
24,0.034
25,0.037
26,0.037
27,0.038
28,0.037
29,0.036
30,0.033
