run,time
1,0.232
2,0.216
3,0.25
4,0.204
5,0.192
6,0.226
7,0.341
8,0.181
9,0.734
10,0.31
11,0.314
12,0.152
13,0.236
14,0.195
15,0.203
16,0.189
17,0.22
18,0.299
19,0.233
20,0.191
21,0.201
22,0.163
23,0.402
24,0.273
25,0.201
26,0.175
27,0.306
28,0.177
29,0.193
30,0.47
