run,time
1,0.239
2,0.174
3,0.176
4,0.29
5,0.543
6,0.25
7,0.289
8,0.241
9,0.184
10,0.468
11,0.228
12,0.236
13,0.201
14,0.183
15,0.343
16,0.191
17,0.223
18,0.249
19,0.22
20,0.287
21,0.294
22,0.254
23,0.223
24,0.318
25,0.748
26,0.205
27,0.196
28,0.277
29,0.265
30,0.316
