run,time
1,0.99
2,1.347
3,0.962
4,1.017
5,0.97
6,0.91
7,1.189
8,0.798
9,0.835
10,0.881
11,0.948
12,0.883
13,0.755
14,0.755
15,0.82
16,0.878
17,0.83
18,0.888
19,0.856
20,0.831
21,0.815
22,0.763
23,0.863
24,0.838
25,0.848
26,0.839
27,0.771
28,0.823
29,0.892
30,0.803
