run,time
1,1.101
2,1.124
3,1.140
4,1.169
5,1.092
6,1.043
7,1.016
8,1.091
9,1.118
10,1.088
11,1.151
12,1.240
13,1.118
14,1.051
15,1.137
16,1.061
17,1.143
18,1.111
19,1.102
20,1.110
21,1.115
22,1.067
23,1.137
24,1.132
25,1.019
26,1.063
27,1.107
28,1.151
29,1.061
30,1.015
