run,time
1,1.328
2,1.270
3,1.050
4,1.045
5,1.036
6,1.082
7,1.148
8,1.276
9,1.045
10,1.171
11,1.110
12,1.163
13,1.194
14,1.022
15,1.029
16,1.073
17,1.020
18,1.281
19,1.279
20,0.987
21,1.083
22,1.044
23,1.155
24,1.066
25,1.029
26,1.042
27,1.142
28,1.075
29,1.222
30,1.152
