run,time
1,0.569
2,0.548
3,0.604
4,0.612
5,0.583
6,0.538
7,0.846
8,0.489
9,0.519
10,0.51
11,0.573
12,0.576
13,0.5
14,0.629
15,0.69
16,0.566
17,0.748
18,0.612
19,0.491
