run,time
1,0.3
2,0.309
3,0.254
4,0.236
5,0.252
6,1.379
7,0.472
8,0.347
9,1.252
10,0.998
11,0.625
12,1.607
13,1.551
14,0.975
15,0.904
16,0.783
17,0.809
18,0.472
19,1.341
20,0.248
21,0.28
22,0.524
23,0.953
24,0.348
25,0.292
26,0.301
27,0.234
28,0.221
29,0.232
30,0.343
