run,time
1,0.064
2,0.058
3,0.058
4,0.062
5,0.062
6,0.062
7,0.059
8,0.063
9,0.066
10,0.063
11,0.062
12,0.065
13,0.062
14,0.06
15,0.064
16,0.061
17,0.061
18,0.059
19,0.063
20,0.06
21,0.061
22,0.059
23,0.059
24,0.062
25,0.06
26,0.059
27,0.058
28,0.055
29,0.062
30,0.059
