run,time
1,0.621
2,0.638
3,0.941
4,0.771
5,0.804
6,0.855
7,0.895
8,0.692
9,0.738
10,0.844
11,0.652
12,0.797
13,1.099
14,0.641
15,0.837
16,0.747
17,0.552
18,0.514
19,0.594
20,0.517
21,0.528
22,0.606
23,0.538
24,0.563
25,1.027
26,0.614
27,0.665
28,0.54
29,0.523
30,0.492
